from,to,sign
821,902,1
318,549,1
504,872,1
265,507,1
225,356,1
18,491,1
106,736,1
482,803,1
645,667,1
534,554,1
184,354,1
367,885,1
295,895,1
117,786,1
248,489,1
170,440,1
538,753,1
51,538,1
85,512,1
98,776,1
561,664,1
317,804,1
331,798,1
108,869,1
708,997,1
309,640,1
12,707,1
19,346,1
55,902,1
528,838,1
53,821,1
22,834,1
101,543,1
756,932,1
723,831,1
625,954,1
213,385,1
78,441,1
739,828,1
461,975,1
533,975,1
213,516,1
428,458,1
151,512,1
143,932,1
615,881,1
804,964,1
20,809,1
4,647,1
350,628,1
940,976,1
799,933,1
60,982,1
397,647,1
175,458,1
338,741,1
389,411,1
409,499,1
52,277,1
304,360,1
786,917,1
127,266,1
463,860,1
429,865,1
141,695,1
8,620,1
588,643,1
275,381,1
325,684,1
245,817,1
381,963,1
260,401,1
131,344,1
411,439,1
246,790,1
209,666,1
99,448,1
67,776,1
647,994,1
337,575,1
796,858,1
311,633,1
527,615,1
342,369,1
87,294,1
71,950,1
32,94,1
32,716,1
45,709,1
49,549,1
378,486,1
58,705,1
431,519,1
713,999,1
435,447,1
482,731,1
334,363,1
8,711,1
576,796,1
771,923,1
99,936,1
262,364,1
258,538,1
328,480,1
176,991,1
471,537,1
49,548,1
234,599,1
130,183,1
119,621,1
762,891,1
695,971,1
329,884,1
374,752,1
347,463,1
129,319,1
612,919,1
287,796,1
337,514,1
335,724,1
60,338,1
655,780,1
277,378,1
165,605,1
359,421,1
430,471,1
409,530,1
708,947,1
14,953,1
96,761,1
227,951,1
312,707,1
147,740,1
668,880,1
524,885,1
366,945,1
717,935,1
338,513,1
346,545,1
315,565,1
138,638,1
566,636,1
39,175,1
859,974,1
50,416,1
390,632,1
646,882,1
474,961,1
242,871,1
314,559,1
710,766,1
303,817,1
342,901,1
446,812,1
634,805,1
874,942,1
338,417,1
505,601,1
308,691,1
79,765,1
303,424,1
313,480,1
97,945,1
719,852,1
62,311,1
88,370,1
427,502,1
99,386,1
58,90,1
468,720,1
273,577,1
230,790,1
128,215,1
99,336,1
100,948,1
169,250,1
387,579,1
480,738,1
460,523,1
362,462,1
320,500,1
838,928,1
485,516,1
4,409,1
44,654,1
264,717,1
448,649,1
368,873,1
332,343,1
42,674,1
37,216,1
72,109,1
20,662,1
451,827,1
171,222,1
552,607,1
241,800,1
751,915,1
707,840,1
235,412,1
775,894,1
537,935,1
723,985,1
282,800,1
633,690,1
478,736,1
925,937,1
613,761,1
514,627,1
453,726,1
307,412,1
355,653,1
924,954,1
8,10,1
245,434,1
459,682,1
139,900,1
263,327,1
545,849,1
340,741,1
259,862,1
176,594,1
85,875,1
31,276,1
269,455,1
152,742,1
55,921,1
275,308,1
157,268,1
232,999,1
102,125,1
703,947,1
172,619,1
93,595,1
743,920,1
134,825,1
706,961,1
284,456,1
305,528,1
71,387,1
39,920,1
416,441,1
594,693,1
456,602,1
845,898,1
62,875,1
26,266,1
62,714,1
177,633,1
80,444,1
920,933,1
400,973,1
27,703,1
271,919,1
591,704,1
29,349,1
653,765,1
408,871,1
296,680,1
443,839,1
228,502,1
73,500,1
355,802,1
222,225,1
21,443,1
45,395,1
322,813,1
568,696,1
143,632,1
275,883,1
177,826,1
159,472,1
277,773,1
223,901,1
116,532,1
136,880,1
28,953,1
88,252,1
59,328,1
820,904,1
99,267,1
772,946,1
101,915,1
398,881,1
268,406,1
52,143,1
427,965,1
173,647,1
767,859,1
88,766,1
392,858,1
304,401,1
346,988,1
718,761,1
40,903,1
420,555,1
180,450,1
194,614,1
166,677,1
582,673,1
49,862,1
258,748,1
348,892,1
354,536,1
180,838,1
412,476,1
588,807,1
332,754,1
179,502,1
632,848,1
558,799,1
265,366,1
153,163,1
177,228,1
95,855,1
191,936,1
31,665,1
221,901,1
264,589,1
34,782,1
328,863,1
212,529,1
86,903,1
644,764,1
31,813,1
123,600,1
41,299,1
775,901,1
119,493,1
493,531,1
0,470,1
464,611,1
612,750,1
546,606,1
43,736,1
323,980,1
202,501,1
121,953,1
274,839,1
37,604,1
415,500,1
263,837,1
358,568,1
271,867,1
104,633,1
54,553,1
22,476,1
448,544,1
80,814,1
145,614,1
217,527,1
57,517,1
267,907,1
352,383,1
27,496,1
459,782,1
169,524,1
167,351,1
100,999,1
358,429,1
424,587,1
505,845,1
126,694,1
188,897,1
180,535,1
189,752,1
146,941,1
97,667,1
520,834,1
701,755,1
654,728,1
7,730,1
22,918,1
251,747,1
136,971,1
853,939,1
137,371,1
584,941,1
21,358,1
453,557,1
26,267,1
456,595,1
538,675,1
601,728,1
395,846,1
969,998,1
451,652,1
65,820,1
728,868,1
70,469,1
735,810,1
377,983,1
431,725,1
789,935,1
235,724,1
876,950,1
370,927,1
27,891,1
562,865,1
578,777,1
257,441,1
298,641,1
177,599,1
432,899,1
19,65,1
109,442,1
373,466,1
462,720,1
556,565,1
330,818,1
45,213,1
35,373,1
581,910,1
301,761,1
869,886,1
193,810,1
136,365,1
549,993,1
286,978,1
450,809,1
218,816,1
44,750,1
100,566,1
366,538,1
333,739,1
90,694,1
807,990,1
307,610,1
74,497,1
228,241,1
393,814,1
536,587,1
720,937,1
8,44,1
330,909,1
342,979,1
312,421,1
87,564,1
49,785,1
325,785,1
46,983,1
338,612,1
444,701,1
301,798,1
548,798,1
325,837,1
97,575,1
10,337,1
730,883,1
229,517,1
200,913,1
626,985,1
162,421,1
241,620,1
270,701,1
508,669,1
129,792,1
373,531,1
239,887,1
24,986,1
594,697,1
705,849,1
519,536,1
749,955,1
61,714,1
522,555,1
90,480,1
310,753,1
342,595,1
622,771,1
188,650,1
223,261,1
122,749,1
172,890,1
36,666,1
61,478,1
626,921,1
300,987,1
291,911,1
11,760,1
818,987,1
117,860,1
789,793,1
23,51,1
368,419,1
7,145,1
6,243,1
48,593,1
755,790,1
249,594,1
741,886,1
241,434,1
323,857,1
210,726,1
573,635,1
347,900,1
527,549,1
372,982,1
365,645,1
117,290,1
122,848,1
63,132,1
34,760,1
448,565,1
235,667,1
267,671,1
118,861,1
121,817,1
352,459,1
831,967,1
175,892,1
413,870,1
180,707,1
270,942,1
68,934,1
408,533,1
376,884,1
